datasetkey	created	n_occ
4fa7b334-ce0d-4e88-aaae-2e0c138d049e	2008-06-27	11451177
82cb293c-f762-11e1-a439-00145eb45e9a	2008-06-27	4321314
82cc5c9e-f762-11e1-a439-00145eb45e9a	2008-06-27	13106452
82cd8df8-f762-11e1-a439-00145eb45e9a	2008-06-27	770740
b929f23d-290f-4e85-8f17-764c55b3b284	2008-06-27	718832
82ceb6ba-f762-11e1-a439-00145eb45e9a	2008-06-27	13909
82cfd6c6-f762-11e1-a439-00145eb45e9a	2008-06-27	25526
82d0e9e4-f762-11e1-a439-00145eb45e9a	2008-06-27	73544
82d21102-f762-11e1-a439-00145eb45e9a	2008-06-27	23128
82d32d8a-f762-11e1-a439-00145eb45e9a	2008-06-27	15883
82d43810-f762-11e1-a439-00145eb45e9a	2008-06-27	14885
82d54d68-f762-11e1-a439-00145eb45e9a	2008-06-27	190257
82d66fc2-f762-11e1-a439-00145eb45e9a	2008-06-27	1197
82d79276-f762-11e1-a439-00145eb45e9a	2008-06-27	832
82d8c0ec-f762-11e1-a439-00145eb45e9a	2008-06-27	7079
82d9ff5c-f762-11e1-a439-00145eb45e9a	2008-06-27	7460
82db2f8a-f762-11e1-a439-00145eb45e9a	2008-06-27	18085
82dc5194-f762-11e1-a439-00145eb45e9a	2008-06-27	39565
82dd797a-f762-11e1-a439-00145eb45e9a	2008-06-27	146238
82dea548-f762-11e1-a439-00145eb45e9a	2008-06-27	9206
82dfda58-f762-11e1-a439-00145eb45e9a	2008-06-27	21145
82e0ee52-f762-11e1-a439-00145eb45e9a	2008-06-27	1794
82e218a4-f762-11e1-a439-00145eb45e9a	2008-06-27	17000
82e33d42-f762-11e1-a439-00145eb45e9a	2008-06-27	7122
82e45d26-f762-11e1-a439-00145eb45e9a	2008-06-27	14435
82e57c42-f762-11e1-a439-00145eb45e9a	2008-06-27	563
82e6a41e-f762-11e1-a439-00145eb45e9a	2008-06-27	27365
82e7db90-f762-11e1-a439-00145eb45e9a	2008-06-27	2176
82e8ff34-f762-11e1-a439-00145eb45e9a	2008-06-27	248
82ea2cf6-f762-11e1-a439-00145eb45e9a	2008-06-27	57010
82eb67a6-f762-11e1-a439-00145eb45e9a	2008-06-27	1208
82ec8f46-f762-11e1-a439-00145eb45e9a	2008-06-27	7781
82eee8cc-f762-11e1-a439-00145eb45e9a	2008-06-27	5771
b276cb50-d3ea-11dc-ab69-b8a03c50a862	2008-06-27	12891
82f258ae-f762-11e1-a439-00145eb45e9a	2008-06-27	1494
82f4c440-f762-11e1-a439-00145eb45e9a	2008-06-27	12155
82f603dc-f762-11e1-a439-00145eb45e9a	2008-06-27	4580
82f73af4-f762-11e1-a439-00145eb45e9a	2008-06-27	11781
82fad3d0-f762-11e1-a439-00145eb45e9a	2008-06-27	599
82fd496c-f762-11e1-a439-00145eb45e9a	2008-06-27	5310
8300bfde-f762-11e1-a439-00145eb45e9a	2008-06-27	998
8301f44e-f762-11e1-a439-00145eb45e9a	2008-06-27	702
83032062-f762-11e1-a439-00145eb45e9a	2008-06-27	140
83043da8-f762-11e1-a439-00145eb45e9a	2008-06-27	28
8306a85e-f762-11e1-a439-00145eb45e9a	2008-06-27	2008
8307da4e-f762-11e1-a439-00145eb45e9a	2008-06-27	271
8309005e-f762-11e1-a439-00145eb45e9a	2008-06-27	88335
830a1f84-f762-11e1-a439-00145eb45e9a	2008-06-27	17373
830b4af8-f762-11e1-a439-00145eb45e9a	2008-06-27	43356
830c7b08-f762-11e1-a439-00145eb45e9a	2008-06-27	6299
830da118-f762-11e1-a439-00145eb45e9a	2008-06-27	115683
830eb5d0-f762-11e1-a439-00145eb45e9a	2008-06-27	53469
830fd460-f762-11e1-a439-00145eb45e9a	2008-06-27	69465
8310f570-f762-11e1-a439-00145eb45e9a	2008-06-27	166455
831234b2-f762-11e1-a439-00145eb45e9a	2008-06-27	122633
831df888-f762-11e1-a439-00145eb45e9a	2008-06-27	662
831f2f46-f762-11e1-a439-00145eb45e9a	2008-06-27	144
13b70480-bd69-11dd-b15f-b8a03c50a862	2008-06-27	105092
83216388-f762-11e1-a439-00145eb45e9a	2008-06-27	190
832282e0-f762-11e1-a439-00145eb45e9a	2008-06-27	24958
8323a4b8-f762-11e1-a439-00145eb45e9a	2008-06-27	194071
8324c0dc-f762-11e1-a439-00145eb45e9a	2008-06-27	819
8325e0d4-f762-11e1-a439-00145eb45e9a	2008-06-27	6639
8326ef10-f762-11e1-a439-00145eb45e9a	2008-06-27	175
8328216e-f762-11e1-a439-00145eb45e9a	2008-06-27	59406
832a5f06-f762-11e1-a439-00145eb45e9a	2008-06-27	31063
832b8188-f762-11e1-a439-00145eb45e9a	2008-06-27	149255
832cb04e-f762-11e1-a439-00145eb45e9a	2008-06-27	73451
832ef746-f762-11e1-a439-00145eb45e9a	2008-06-27	25955
8331311e-f762-11e1-a439-00145eb45e9a	2008-06-27	478
83325c60-f762-11e1-a439-00145eb45e9a	2008-06-27	5549
83338752-f762-11e1-a439-00145eb45e9a	2008-06-27	218
83380a34-f762-11e1-a439-00145eb45e9a	2008-06-27	6
1c334170-7ed1-11df-8c4a-0800200c9a66	2008-06-27	52237
833c9914-f762-11e1-a439-00145eb45e9a	2008-06-27	25592
833db434-f762-11e1-a439-00145eb45e9a	2008-06-27	104657
833ff136-f762-11e1-a439-00145eb45e9a	2008-06-27	2603
83422c44-f762-11e1-a439-00145eb45e9a	2008-06-27	92061
83435394-f762-11e1-a439-00145eb45e9a	2008-06-27	53482
83447e40-f762-11e1-a439-00145eb45e9a	2008-06-27	313162
83459d16-f762-11e1-a439-00145eb45e9a	2008-06-27	8096
8346c3a8-f762-11e1-a439-00145eb45e9a	2008-06-27	25140
8347f6ba-f762-11e1-a439-00145eb45e9a	2008-06-27	4071
83492a58-f762-11e1-a439-00145eb45e9a	2008-06-27	14842
834a4794-f762-11e1-a439-00145eb45e9a	2008-06-27	39544
834b7330-f762-11e1-a439-00145eb45e9a	2008-06-27	109221
834c9918-f762-11e1-a439-00145eb45e9a	2008-06-27	285971
834dcb62-f762-11e1-a439-00145eb45e9a	2008-06-27	9158
834f1756-f762-11e1-a439-00145eb45e9a	2008-06-27	20945
83504144-f762-11e1-a439-00145eb45e9a	2008-06-27	9726
835177da-f762-11e1-a439-00145eb45e9a	2008-06-27	26852
83529de0-f762-11e1-a439-00145eb45e9a	2008-06-27	50939
8353c5bc-f762-11e1-a439-00145eb45e9a	2008-06-27	39816
8354ecee-f762-11e1-a439-00145eb45e9a	2008-06-27	15092
835613da-f762-11e1-a439-00145eb45e9a	2008-06-27	4971
835727b6-f762-11e1-a439-00145eb45e9a	2008-06-27	4288
835852b2-f762-11e1-a439-00145eb45e9a	2008-06-27	11256
835ac57e-f762-11e1-a439-00145eb45e9a	2008-06-27	11209
835bf26e-f762-11e1-a439-00145eb45e9a	2008-06-27	1048
835d30de-f762-11e1-a439-00145eb45e9a	2008-06-27	35140
835e62e2-f762-11e1-a439-00145eb45e9a	2008-06-27	20973
835f8992-f762-11e1-a439-00145eb45e9a	2008-06-27	13865
8360b042-f762-11e1-a439-00145eb45e9a	2008-06-27	5638
836c3a66-f762-11e1-a439-00145eb45e9a	2008-06-27	3618
836d7642-f762-11e1-a439-00145eb45e9a	2008-06-27	1405
83713818-f762-11e1-a439-00145eb45e9a	2008-06-27	114455
83725ef0-f762-11e1-a439-00145eb45e9a	2008-06-27	53
837381f4-f762-11e1-a439-00145eb45e9a	2008-06-27	4695
8374a9a8-f762-11e1-a439-00145eb45e9a	2008-06-27	10270
8375dada-f762-11e1-a439-00145eb45e9a	2008-06-27	87918
83771684-f762-11e1-a439-00145eb45e9a	2008-06-27	11455
83784f5e-f762-11e1-a439-00145eb45e9a	2008-06-27	4235
8379962a-f762-11e1-a439-00145eb45e9a	2008-06-27	46740
837acfc2-f762-11e1-a439-00145eb45e9a	2008-06-27	17269
837c0162-f762-11e1-a439-00145eb45e9a	2008-06-27	15025
837d1c8c-f762-11e1-a439-00145eb45e9a	2008-06-27	2980
