datasetkey	created	n_occ
4fa7b334-ce0d-4e88-aaae-2e0c138d049e	2009-12-16	20662185
82cb293c-f762-11e1-a439-00145eb45e9a	2009-12-16	7076556
82cc5c9e-f762-11e1-a439-00145eb45e9a	2009-12-16	14533851
82cd8df8-f762-11e1-a439-00145eb45e9a	2009-12-16	777113
b929f23d-290f-4e85-8f17-764c55b3b284	2009-12-16	731732
82ceb6ba-f762-11e1-a439-00145eb45e9a	2009-12-16	16963
82cfd6c6-f762-11e1-a439-00145eb45e9a	2009-12-16	25526
82d0e9e4-f762-11e1-a439-00145eb45e9a	2009-12-16	73544
82d21102-f762-11e1-a439-00145eb45e9a	2009-12-16	23128
82d32d8a-f762-11e1-a439-00145eb45e9a	2009-12-16	15883
82d43810-f762-11e1-a439-00145eb45e9a	2009-12-16	14885
82d54d68-f762-11e1-a439-00145eb45e9a	2009-12-16	190257
82d66fc2-f762-11e1-a439-00145eb45e9a	2009-12-16	1197
82d79276-f762-11e1-a439-00145eb45e9a	2009-12-16	832
82d8c0ec-f762-11e1-a439-00145eb45e9a	2009-12-16	14676
82d9ff5c-f762-11e1-a439-00145eb45e9a	2009-12-16	45614
82db2f8a-f762-11e1-a439-00145eb45e9a	2009-12-16	21296
82dc5194-f762-11e1-a439-00145eb45e9a	2009-12-16	39565
82dd797a-f762-11e1-a439-00145eb45e9a	2009-12-16	146238
82dea548-f762-11e1-a439-00145eb45e9a	2009-12-16	9206
82dfda58-f762-11e1-a439-00145eb45e9a	2009-12-16	21145
82e0ee52-f762-11e1-a439-00145eb45e9a	2009-12-16	1794
82e218a4-f762-11e1-a439-00145eb45e9a	2009-12-16	120000
82e33d42-f762-11e1-a439-00145eb45e9a	2009-12-16	7122
82e45d26-f762-11e1-a439-00145eb45e9a	2009-12-16	14435
82e57c42-f762-11e1-a439-00145eb45e9a	2009-12-16	563
82e6a41e-f762-11e1-a439-00145eb45e9a	2009-12-16	218767
82e7db90-f762-11e1-a439-00145eb45e9a	2009-12-16	2176
82e8ff34-f762-11e1-a439-00145eb45e9a	2009-12-16	248
82ea2cf6-f762-11e1-a439-00145eb45e9a	2009-12-16	127499
82eb67a6-f762-11e1-a439-00145eb45e9a	2009-12-16	1208
82ec8f46-f762-11e1-a439-00145eb45e9a	2009-12-16	9271
82edc37a-f762-11e1-a439-00145eb45e9a	2009-12-16	462
82eee8cc-f762-11e1-a439-00145eb45e9a	2009-12-16	5771
b276cb50-d3ea-11dc-ab69-b8a03c50a862	2009-12-16	13257
82f258ae-f762-11e1-a439-00145eb45e9a	2009-12-16	1494
82f4c440-f762-11e1-a439-00145eb45e9a	2009-12-16	12155
82f603dc-f762-11e1-a439-00145eb45e9a	2009-12-16	4580
82f73af4-f762-11e1-a439-00145eb45e9a	2009-12-16	11781
82fad3d0-f762-11e1-a439-00145eb45e9a	2009-12-16	299
82fd496c-f762-11e1-a439-00145eb45e9a	2009-12-16	2861
8300bfde-f762-11e1-a439-00145eb45e9a	2009-12-16	998
8301f44e-f762-11e1-a439-00145eb45e9a	2009-12-16	702
83032062-f762-11e1-a439-00145eb45e9a	2009-12-16	70
83043da8-f762-11e1-a439-00145eb45e9a	2009-12-16	28
8306a85e-f762-11e1-a439-00145eb45e9a	2009-12-16	1426
