datasetkey	created	n_occ
740df67d-5663-41a2-9d12-33ec33876c47	2019-01-01	11987804
5445131a-b491-44d8-9974-3ec52bde0c47	2019-01-01	168578
f5375a07-ead8-4d26-bd1b-e216187b97a4	2019-01-01	1054
82448a85-e723-4c19-92db-98fe2b1d076e	2019-01-01	47
8904724a-8de2-41cf-848f-e6af7a80a2d3	2019-01-01	1386
f5660d5f-874f-40ae-b470-0d4b97cccf47	2019-01-01	25
89694f4e-f762-11e1-a439-00145eb45e9a	2019-01-01	420
7bc12a10-f762-11e1-a439-00145eb45e9a	2019-01-01	256
f76041b1-53f6-448d-a2e1-4302bf80c93c	2019-01-01	555
8e4ed6c0-1dac-436a-8afc-a1b10b046067	2019-01-01	15822
a072acef-4ec2-4a2d-8532-cd19ebe5fabc	2019-01-01	122038
85daead6-f762-11e1-a439-00145eb45e9a	2019-01-01	83
9703e992-4050-462f-80f3-18f766af5cf3	2019-01-01	587
63f9ddea-e86c-43ca-bb78-03b9534ca199	2019-01-01	2
760bbc8e-f762-11e1-a439-00145eb45e9a	2019-01-01	52
8780b6b8-f762-11e1-a439-00145eb45e9a	2019-01-01	159
876e6724-f762-11e1-a439-00145eb45e9a	2019-01-01	201
7c01a570-a75e-11dd-b1b2-b8a03c50a862	2019-01-01	2034
16965647-4120-4e0b-aa57-1eeaf028606e	2019-01-01	26743
7a9dfaf3-3075-45db-a405-4e322dbf7800	2019-01-01	10
1b7e83a0-0c61-11dd-84ce-b8a03c50a862	2019-01-01	231078
fb74ed95-40ac-4985-a5de-7c240e4e22c7	2019-01-01	10
28646617-3f8e-4910-849e-e3776e3fec78	2019-01-01	181977
a1229594-2bce-4682-8674-d3db51da9923	2019-01-01	14635
f7cba820-766f-4bdb-b202-645e130ab51f	2019-01-01	711
28289524-0ad1-43c3-bb8d-2b785ff89089	2019-01-01	6
3ea36590-9b79-46a8-9300-c9ef0bfed7b8	2019-01-01	24
fa3e43c1-b578-48ca-bc8a-3f2eed5e8fa8	2019-01-01	4
fade3e7a-82c5-4652-b482-03dbd1510b18	2019-01-01	92
f27bf01d-bf27-4e86-b2ba-81b84931d348	2019-01-01	66
229be5b0-ef0c-48e4-aea2-6f8e9b449692	2019-01-01	48
51de9c85-0337-4c68-9783-f13bc0aac15f	2019-01-01	6946
8ea94e2a-118c-4a53-a957-5348d48d61e1	2019-01-01	3427
7154ea1c-f762-11e1-a439-00145eb45e9a	2019-01-01	215
7563f792-f762-11e1-a439-00145eb45e9a	2019-01-01	722
986d4f73-db26-4e13-b597-76716b1d4c67	2019-01-01	381
71d88e93-f830-4878-832e-3e10e3e80f61	2019-01-01	3
2b2c9de5-3484-41f5-8b47-950c093ef205	2019-01-01	1680
7fd1d078-f762-11e1-a439-00145eb45e9a	2019-01-01	2745
561a0884-2a43-421c-bf74-15f7563842dd	2019-01-01	118
3399fdfc-72cb-476d-99d1-39b2904e2be1	2019-01-01	665
f05c6a3d-511c-421b-a9f8-a1bb3381d4b4	2019-01-01	81
4c2dd54e-aedb-4fbc-b1c3-72bb4a397b23	2019-01-01	2730
03c01aa9-a13d-4cab-bf85-f59149bf8d9a	2019-01-01	129
cfb865bd-ba49-471b-92fa-4ee0e8843f11	2019-01-01	6
96c4aa76-f762-11e1-a439-00145eb45e9a	2019-01-01	12147
96beb7d8-f762-11e1-a439-00145eb45e9a	2019-01-01	1
96ca66b4-f762-11e1-a439-00145eb45e9a	2019-01-01	290333
0ebf1f88-0b36-4600-8806-d32c36928b8e	2019-01-01	897
a73e9c4d-18c2-4ad2-a564-807215490b40	2019-01-01	73
9581277a-f762-11e1-a439-00145eb45e9a	2019-01-01	15
6bf83c4a-f762-11e1-a439-00145eb45e9a	2019-01-01	18
a25471c2-44ed-47f6-ad80-b770f388a804	2019-01-01	429
a8adde1c-1d66-4ad0-846f-cdf59fc4cb0f	2019-01-01	60202
d9c9335f-8c7b-4ac9-855f-079fce850cd5	2019-01-01	24
e712edab-eaf9-45df-b576-4dffd043eb0c	2019-01-01	409
ff4f16f0-a883-480e-9537-7704b70b9929	2019-01-01	17
6580e39e-f762-11e1-a439-00145eb45e9a	2019-01-01	132
744c1c7c-f762-11e1-a439-00145eb45e9a	2019-01-01	878
