datasetkey	created	n_occ
96ca66b4-f762-11e1-a439-00145eb45e9a	2014-09-08	570693
740df67d-5663-41a2-9d12-33ec33876c47	2014-09-08	9913030
03c01aa9-a13d-4cab-bf85-f59149bf8d9a	2014-09-08	132
4c2dd54e-aedb-4fbc-b1c3-72bb4a397b23	2014-09-08	2625
8ea94e2a-118c-4a53-a957-5348d48d61e1	2014-09-08	3427
1b7e83a0-0c61-11dd-84ce-b8a03c50a862	2014-09-08	146382
7154ea1c-f762-11e1-a439-00145eb45e9a	2014-09-08	215
7c01a570-a75e-11dd-b1b2-b8a03c50a862	2014-09-08	2043
810bbd3c-f762-11e1-a439-00145eb45e9a	2014-09-08	21129
8904724a-8de2-41cf-848f-e6af7a80a2d3	2014-09-08	1386
1461b5ad-0fac-4ab7-a98d-044443bdb18d	2014-09-08	296072
96beb7d8-f762-11e1-a439-00145eb45e9a	2014-09-08	1
88e9ea2e-f762-11e1-a439-00145eb45e9a	2014-09-08	3978
760bbc8e-f762-11e1-a439-00145eb45e9a	2014-09-08	5
3399fdfc-72cb-476d-99d1-39b2904e2be1	2014-09-08	644
2b38579f-47f0-4044-9bbd-088fc0cfdeb3	2014-09-08	2
8f8b8d07-b28e-44d4-a1e7-0cdfc4b6b212	2014-09-08	23
8edeb22a-f762-11e1-a439-00145eb45e9a	2014-09-08	686
8ec5d782-f762-11e1-a439-00145eb45e9a	2014-09-08	1047
85daead6-f762-11e1-a439-00145eb45e9a	2014-09-08	83
83a9e99c-f762-11e1-a439-00145eb45e9a	2014-09-08	1318
63e875e2-f762-11e1-a439-00145eb45e9a	2014-09-08	123
802a4c8a-f762-11e1-a439-00145eb45e9a	2014-09-08	40
61558090-f762-11e1-a439-00145eb45e9a	2014-09-08	52
629eaa80-f762-11e1-a439-00145eb45e9a	2014-09-08	54
876e6724-f762-11e1-a439-00145eb45e9a	2014-09-08	379
8780b6b8-f762-11e1-a439-00145eb45e9a	2014-09-08	270
a072acef-4ec2-4a2d-8532-cd19ebe5fabc	2014-09-08	98229
91e4afa6-f762-11e1-a439-00145eb45e9a	2014-09-08	23
7440a9c8-f762-11e1-a439-00145eb45e9a	2014-09-08	2
