datasetkey	created	n_occ
4fa7b334-ce0d-4e88-aaae-2e0c138d049e	2008-10-10	12692139
82cb293c-f762-11e1-a439-00145eb45e9a	2008-10-10	4321314
82cc5c9e-f762-11e1-a439-00145eb45e9a	2008-10-10	13731086
82cd8df8-f762-11e1-a439-00145eb45e9a	2008-10-10	777110
b929f23d-290f-4e85-8f17-764c55b3b284	2008-10-10	731732
82ceb6ba-f762-11e1-a439-00145eb45e9a	2008-10-10	13909
82cfd6c6-f762-11e1-a439-00145eb45e9a	2008-10-10	25526
82d0e9e4-f762-11e1-a439-00145eb45e9a	2008-10-10	73544
82d21102-f762-11e1-a439-00145eb45e9a	2008-10-10	23128
82d32d8a-f762-11e1-a439-00145eb45e9a	2008-10-10	15883
82d43810-f762-11e1-a439-00145eb45e9a	2008-10-10	14885
82d54d68-f762-11e1-a439-00145eb45e9a	2008-10-10	190257
82d66fc2-f762-11e1-a439-00145eb45e9a	2008-10-10	1197
82d79276-f762-11e1-a439-00145eb45e9a	2008-10-10	832
82d8c0ec-f762-11e1-a439-00145eb45e9a	2008-10-10	7079
82d9ff5c-f762-11e1-a439-00145eb45e9a	2008-10-10	45001
82db2f8a-f762-11e1-a439-00145eb45e9a	2008-10-10	18085
82dc5194-f762-11e1-a439-00145eb45e9a	2008-10-10	39565
82dd797a-f762-11e1-a439-00145eb45e9a	2008-10-10	146238
82dea548-f762-11e1-a439-00145eb45e9a	2008-10-10	9206
82dfda58-f762-11e1-a439-00145eb45e9a	2008-10-10	21145
82e0ee52-f762-11e1-a439-00145eb45e9a	2008-10-10	1794
82e218a4-f762-11e1-a439-00145eb45e9a	2008-10-10	19000
82e33d42-f762-11e1-a439-00145eb45e9a	2008-10-10	7122
82e45d26-f762-11e1-a439-00145eb45e9a	2008-10-10	14435
82e57c42-f762-11e1-a439-00145eb45e9a	2008-10-10	563
82e6a41e-f762-11e1-a439-00145eb45e9a	2008-10-10	91408
82e7db90-f762-11e1-a439-00145eb45e9a	2008-10-10	2176
82e8ff34-f762-11e1-a439-00145eb45e9a	2008-10-10	248
82ea2cf6-f762-11e1-a439-00145eb45e9a	2008-10-10	85501
82eb67a6-f762-11e1-a439-00145eb45e9a	2008-10-10	1208
