datasetkey	created	n_occ
4fa7b334-ce0d-4e88-aaae-2e0c138d049e	2007-12-19	10732472
82cb293c-f762-11e1-a439-00145eb45e9a	2007-12-19	3031067
82cc5c9e-f762-11e1-a439-00145eb45e9a	2007-12-19	13020611
82cd8df8-f762-11e1-a439-00145eb45e9a	2007-12-19	739418
b929f23d-290f-4e85-8f17-764c55b3b284	2007-12-19	718832
82ceb6ba-f762-11e1-a439-00145eb45e9a	2007-12-19	14523
82cfd6c6-f762-11e1-a439-00145eb45e9a	2007-12-19	25526
82d0e9e4-f762-11e1-a439-00145eb45e9a	2007-12-19	73544
82d21102-f762-11e1-a439-00145eb45e9a	2007-12-19	23128
82d32d8a-f762-11e1-a439-00145eb45e9a	2007-12-19	15883
82d43810-f762-11e1-a439-00145eb45e9a	2007-12-19	14885
82d54d68-f762-11e1-a439-00145eb45e9a	2007-12-19	190257
82d66fc2-f762-11e1-a439-00145eb45e9a	2007-12-19	1197
82d79276-f762-11e1-a439-00145eb45e9a	2007-12-19	832
82d8c0ec-f762-11e1-a439-00145eb45e9a	2007-12-19	7079
82d9ff5c-f762-11e1-a439-00145eb45e9a	2007-12-19	7460
82db2f8a-f762-11e1-a439-00145eb45e9a	2007-12-19	17957
82dc5194-f762-11e1-a439-00145eb45e9a	2007-12-19	39565
82dd797a-f762-11e1-a439-00145eb45e9a	2007-12-19	138961
82dea548-f762-11e1-a439-00145eb45e9a	2007-12-19	4603
82dfda58-f762-11e1-a439-00145eb45e9a	2007-12-19	21145
82e0ee52-f762-11e1-a439-00145eb45e9a	2007-12-19	1794
82e218a4-f762-11e1-a439-00145eb45e9a	2007-12-19	17000
82e33d42-f762-11e1-a439-00145eb45e9a	2007-12-19	7122
82e45d26-f762-11e1-a439-00145eb45e9a	2007-12-19	14435
82e57c42-f762-11e1-a439-00145eb45e9a	2007-12-19	563
82e6a41e-f762-11e1-a439-00145eb45e9a	2007-12-19	11330
82e7db90-f762-11e1-a439-00145eb45e9a	2007-12-19	2176
82e8ff34-f762-11e1-a439-00145eb45e9a	2007-12-19	248
82ea2cf6-f762-11e1-a439-00145eb45e9a	2007-12-19	46751
82eb67a6-f762-11e1-a439-00145eb45e9a	2007-12-19	1208
82ec8f46-f762-11e1-a439-00145eb45e9a	2007-12-19	7781
82eee8cc-f762-11e1-a439-00145eb45e9a	2007-12-19	4000
b276cb50-d3ea-11dc-ab69-b8a03c50a862	2007-12-19	6313
82f258ae-f762-11e1-a439-00145eb45e9a	2007-12-19	1494
82f4c440-f762-11e1-a439-00145eb45e9a	2007-12-19	12155
82f603dc-f762-11e1-a439-00145eb45e9a	2007-12-19	4580
82f73af4-f762-11e1-a439-00145eb45e9a	2007-12-19	11781
82fad3d0-f762-11e1-a439-00145eb45e9a	2007-12-19	599
82fd496c-f762-11e1-a439-00145eb45e9a	2007-12-19	2449
8300bfde-f762-11e1-a439-00145eb45e9a	2007-12-19	998
8301f44e-f762-11e1-a439-00145eb45e9a	2007-12-19	702
83032062-f762-11e1-a439-00145eb45e9a	2007-12-19	140
83043da8-f762-11e1-a439-00145eb45e9a	2007-12-19	28
8306a85e-f762-11e1-a439-00145eb45e9a	2007-12-19	1358
8307da4e-f762-11e1-a439-00145eb45e9a	2007-12-19	271
8309005e-f762-11e1-a439-00145eb45e9a	2007-12-19	88335
830a1f84-f762-11e1-a439-00145eb45e9a	2007-12-19	17373
830b4af8-f762-11e1-a439-00145eb45e9a	2007-12-19	43356
830c7b08-f762-11e1-a439-00145eb45e9a	2007-12-19	6299
830da118-f762-11e1-a439-00145eb45e9a	2007-12-19	115683
830eb5d0-f762-11e1-a439-00145eb45e9a	2007-12-19	52430
830fd460-f762-11e1-a439-00145eb45e9a	2007-12-19	65063
8310f570-f762-11e1-a439-00145eb45e9a	2007-12-19	157387
831234b2-f762-11e1-a439-00145eb45e9a	2007-12-19	111970
831df888-f762-11e1-a439-00145eb45e9a	2007-12-19	662
831f2f46-f762-11e1-a439-00145eb45e9a	2007-12-19	144
13b70480-bd69-11dd-b15f-b8a03c50a862	2007-12-19	105092
83216388-f762-11e1-a439-00145eb45e9a	2007-12-19	190
832282e0-f762-11e1-a439-00145eb45e9a	2007-12-19	24958
8323a4b8-f762-11e1-a439-00145eb45e9a	2007-12-19	193241
8324c0dc-f762-11e1-a439-00145eb45e9a	2007-12-19	819
8325e0d4-f762-11e1-a439-00145eb45e9a	2007-12-19	6639
8326ef10-f762-11e1-a439-00145eb45e9a	2007-12-19	175
8328216e-f762-11e1-a439-00145eb45e9a	2007-12-19	59406
832a5f06-f762-11e1-a439-00145eb45e9a	2007-12-19	31063
832b8188-f762-11e1-a439-00145eb45e9a	2007-12-19	147567
832cb04e-f762-11e1-a439-00145eb45e9a	2007-12-19	68253
832ef746-f762-11e1-a439-00145eb45e9a	2007-12-19	25955
8331311e-f762-11e1-a439-00145eb45e9a	2007-12-19	478
83325c60-f762-11e1-a439-00145eb45e9a	2007-12-19	5549
83338752-f762-11e1-a439-00145eb45e9a	2007-12-19	218
83380a34-f762-11e1-a439-00145eb45e9a	2007-12-19	6
1c334170-7ed1-11df-8c4a-0800200c9a66	2007-12-19	52237
833c9914-f762-11e1-a439-00145eb45e9a	2007-12-19	25592
833db434-f762-11e1-a439-00145eb45e9a	2007-12-19	121599
833ff136-f762-11e1-a439-00145eb45e9a	2007-12-19	2586
83422c44-f762-11e1-a439-00145eb45e9a	2007-12-19	83295
83435394-f762-11e1-a439-00145eb45e9a	2007-12-19	50424
83459d16-f762-11e1-a439-00145eb45e9a	2007-12-19	8096
8346c3a8-f762-11e1-a439-00145eb45e9a	2007-12-19	25140
8347f6ba-f762-11e1-a439-00145eb45e9a	2007-12-19	4071
83492a58-f762-11e1-a439-00145eb45e9a	2007-12-19	14842
834a4794-f762-11e1-a439-00145eb45e9a	2007-12-19	39544
834b7330-f762-11e1-a439-00145eb45e9a	2007-12-19	26756
834c9918-f762-11e1-a439-00145eb45e9a	2007-12-19	187911
834dcb62-f762-11e1-a439-00145eb45e9a	2007-12-19	9158
834f1756-f762-11e1-a439-00145eb45e9a	2007-12-19	20945
83504144-f762-11e1-a439-00145eb45e9a	2007-12-19	9726
835177da-f762-11e1-a439-00145eb45e9a	2007-12-19	26852
83529de0-f762-11e1-a439-00145eb45e9a	2007-12-19	50939
8353c5bc-f762-11e1-a439-00145eb45e9a	2007-12-19	34527
8354ecee-f762-11e1-a439-00145eb45e9a	2007-12-19	15092
835613da-f762-11e1-a439-00145eb45e9a	2007-12-19	4971
835727b6-f762-11e1-a439-00145eb45e9a	2007-12-19	4288
835852b2-f762-11e1-a439-00145eb45e9a	2007-12-19	11256
835ac57e-f762-11e1-a439-00145eb45e9a	2007-12-19	11209
835bf26e-f762-11e1-a439-00145eb45e9a	2007-12-19	1048
835d30de-f762-11e1-a439-00145eb45e9a	2007-12-19	26213
835e62e2-f762-11e1-a439-00145eb45e9a	2007-12-19	20973
835f8992-f762-11e1-a439-00145eb45e9a	2007-12-19	13865
8360b042-f762-11e1-a439-00145eb45e9a	2007-12-19	5638
836c3a66-f762-11e1-a439-00145eb45e9a	2007-12-19	3618
836d7642-f762-11e1-a439-00145eb45e9a	2007-12-19	4
83713818-f762-11e1-a439-00145eb45e9a	2007-12-19	114174
83725ef0-f762-11e1-a439-00145eb45e9a	2007-12-19	53
837381f4-f762-11e1-a439-00145eb45e9a	2007-12-19	3110
8374a9a8-f762-11e1-a439-00145eb45e9a	2007-12-19	10270
8375dada-f762-11e1-a439-00145eb45e9a	2007-12-19	37173
83771684-f762-11e1-a439-00145eb45e9a	2007-12-19	11455
83784f5e-f762-11e1-a439-00145eb45e9a	2007-12-19	4235
8379962a-f762-11e1-a439-00145eb45e9a	2007-12-19	46740
837acfc2-f762-11e1-a439-00145eb45e9a	2007-12-19	17269
837c0162-f762-11e1-a439-00145eb45e9a	2007-12-19	7356
837d1c8c-f762-11e1-a439-00145eb45e9a	2007-12-19	2980
837e52dc-f762-11e1-a439-00145eb45e9a	2007-12-19	4015
837f8ba2-f762-11e1-a439-00145eb45e9a	2007-12-19	3302
8380d926-f762-11e1-a439-00145eb45e9a	2007-12-19	6048
838211b0-f762-11e1-a439-00145eb45e9a	2007-12-19	1116
838350b6-f762-11e1-a439-00145eb45e9a	2007-12-19	6560
838475f4-f762-11e1-a439-00145eb45e9a	2007-12-19	13490
8385a082-f762-11e1-a439-00145eb45e9a	2007-12-19	4052
8386db32-f762-11e1-a439-00145eb45e9a	2007-12-19	937
83880886-f762-11e1-a439-00145eb45e9a	2007-12-19	1599
83893c4c-f762-11e1-a439-00145eb45e9a	2007-12-19	750
838a6ba8-f762-11e1-a439-00145eb45e9a	2007-12-19	26559
838bb5ee-f762-11e1-a439-00145eb45e9a	2007-12-19	39882
838cf80a-f762-11e1-a439-00145eb45e9a	2007-12-19	241320
838e2626-f762-11e1-a439-00145eb45e9a	2007-12-19	1269102
838f42d6-f762-11e1-a439-00145eb45e9a	2007-12-19	7318
8392d3f6-f762-11e1-a439-00145eb45e9a	2007-12-19	635
83951602-f762-11e1-a439-00145eb45e9a	2007-12-19	3210
83963a82-f762-11e1-a439-00145eb45e9a	2007-12-19	2095
8397569c-f762-11e1-a439-00145eb45e9a	2007-12-19	1555
83986ffa-f762-11e1-a439-00145eb45e9a	2007-12-19	721891
8399a5be-f762-11e1-a439-00145eb45e9a	2007-12-19	156948
839adc04-f762-11e1-a439-00145eb45e9a	2007-12-19	422150
839bf3b4-f762-11e1-a439-00145eb45e9a	2007-12-19	5311
839d1da2-f762-11e1-a439-00145eb45e9a	2007-12-19	8029
839e3958-f762-11e1-a439-00145eb45e9a	2007-12-19	2583
839f7426-f762-11e1-a439-00145eb45e9a	2007-12-19	3617
83a09216-f762-11e1-a439-00145eb45e9a	2007-12-19	16261
83a1a8c2-f762-11e1-a439-00145eb45e9a	2007-12-19	1028827
83a2cc02-f762-11e1-a439-00145eb45e9a	2007-12-19	28901
83a3f29e-f762-11e1-a439-00145eb45e9a	2007-12-19	11300
83a517aa-f762-11e1-a439-00145eb45e9a	2007-12-19	125272
83a65020-f762-11e1-a439-00145eb45e9a	2007-12-19	3437
83a7950c-f762-11e1-a439-00145eb45e9a	2007-12-19	12702
83a8c0da-f762-11e1-a439-00145eb45e9a	2007-12-19	39897
83a9e99c-f762-11e1-a439-00145eb45e9a	2007-12-19	2636
83ab0f8e-f762-11e1-a439-00145eb45e9a	2007-12-19	579
83ac301c-f762-11e1-a439-00145eb45e9a	2007-12-19	4762
83ad4862-f762-11e1-a439-00145eb45e9a	2007-12-19	26
83ae75fc-f762-11e1-a439-00145eb45e9a	2007-12-19	466734
83afb58e-f762-11e1-a439-00145eb45e9a	2007-12-19	3132
83b0cc08-f762-11e1-a439-00145eb45e9a	2007-12-19	486
83b1eeda-f762-11e1-a439-00145eb45e9a	2007-12-19	9491
83b31e72-f762-11e1-a439-00145eb45e9a	2007-12-19	22783
83b45ca6-f762-11e1-a439-00145eb45e9a	2007-12-19	68510
83b58bb2-f762-11e1-a439-00145eb45e9a	2007-12-19	377929
83b6a6b4-f762-11e1-a439-00145eb45e9a	2007-12-19	1664
83b7d732-f762-11e1-a439-00145eb45e9a	2007-12-19	573
83b90d28-f762-11e1-a439-00145eb45e9a	2007-12-19	2591
83ba514c-f762-11e1-a439-00145eb45e9a	2007-12-19	106342
83bb72ac-f762-11e1-a439-00145eb45e9a	2007-12-19	24645
83bc933a-f762-11e1-a439-00145eb45e9a	2007-12-19	1314
83bdb6a2-f762-11e1-a439-00145eb45e9a	2007-12-19	8944
83bede10-f762-11e1-a439-00145eb45e9a	2007-12-19	27313
83bffd22-f762-11e1-a439-00145eb45e9a	2007-12-19	1214
83c13494-f762-11e1-a439-00145eb45e9a	2007-12-19	31747
83c25cb6-f762-11e1-a439-00145eb45e9a	2007-12-19	21086
83c36a52-f762-11e1-a439-00145eb45e9a	2007-12-19	6450
83c483d8-f762-11e1-a439-00145eb45e9a	2007-12-19	2588
83c5b21c-f762-11e1-a439-00145eb45e9a	2007-12-19	1004
83c6f3fc-f762-11e1-a439-00145eb45e9a	2007-12-19	603
83c83186-f762-11e1-a439-00145eb45e9a	2007-12-19	539
83c964d4-f762-11e1-a439-00145eb45e9a	2007-12-19	47626
83cbb4fa-f762-11e1-a439-00145eb45e9a	2007-12-19	1734
83ccef78-f762-11e1-a439-00145eb45e9a	2007-12-19	2810
83ce2bd6-f762-11e1-a439-00145eb45e9a	2007-12-19	4500
83cf5830-f762-11e1-a439-00145eb45e9a	2007-12-19	1888
83d07ce2-f762-11e1-a439-00145eb45e9a	2007-12-19	16585
83d19780-f762-11e1-a439-00145eb45e9a	2007-12-19	1782
83d2bb06-f762-11e1-a439-00145eb45e9a	2007-12-19	49
83d3fb7e-f762-11e1-a439-00145eb45e9a	2007-12-19	868
83d53d40-f762-11e1-a439-00145eb45e9a	2007-12-19	342
83d67ffc-f762-11e1-a439-00145eb45e9a	2007-12-19	559
83d7b502-f762-11e1-a439-00145eb45e9a	2007-12-19	32
83d8f908-f762-11e1-a439-00145eb45e9a	2007-12-19	10336
83da3aa2-f762-11e1-a439-00145eb45e9a	2007-12-19	78
83db7836-f762-11e1-a439-00145eb45e9a	2007-12-19	7490
83dcb886-f762-11e1-a439-00145eb45e9a	2007-12-19	34341
83dde5e4-f762-11e1-a439-00145eb45e9a	2007-12-19	4129
83df16a8-f762-11e1-a439-00145eb45e9a	2007-12-19	4808
83e03cc2-f762-11e1-a439-00145eb45e9a	2007-12-19	557
83e187c6-f762-11e1-a439-00145eb45e9a	2007-12-19	1465
83e29da0-f762-11e1-a439-00145eb45e9a	2007-12-19	5449
83e3bfd2-f762-11e1-a439-00145eb45e9a	2007-12-19	16489
83e4e682-f762-11e1-a439-00145eb45e9a	2007-12-19	1093
83e61354-f762-11e1-a439-00145eb45e9a	2007-12-19	2618
83e735ae-f762-11e1-a439-00145eb45e9a	2007-12-19	60445
83e860d2-f762-11e1-a439-00145eb45e9a	2007-12-19	56390
83e997b8-f762-11e1-a439-00145eb45e9a	2007-12-19	26515
83eabf30-f762-11e1-a439-00145eb45e9a	2007-12-19	15016
83ec00fc-f762-11e1-a439-00145eb45e9a	2007-12-19	1184
83ed3f62-f762-11e1-a439-00145eb45e9a	2007-12-19	2440
83ee731e-f762-11e1-a439-00145eb45e9a	2007-12-19	91705
83efab44-f762-11e1-a439-00145eb45e9a	2007-12-19	15586
83f0d4f6-f762-11e1-a439-00145eb45e9a	2007-12-19	6870
83f20470-f762-11e1-a439-00145eb45e9a	2007-12-19	1933
83f44d48-f762-11e1-a439-00145eb45e9a	2007-12-19	33162
83f57722-f762-11e1-a439-00145eb45e9a	2007-12-19	9031
83f69d96-f762-11e1-a439-00145eb45e9a	2007-12-19	14484
83f7c860-f762-11e1-a439-00145eb45e9a	2007-12-19	7664
83f90252-f762-11e1-a439-00145eb45e9a	2007-12-19	9649
83fa2844-f762-11e1-a439-00145eb45e9a	2007-12-19	6019
83fb5688-f762-11e1-a439-00145eb45e9a	2007-12-19	588
83fc8030-f762-11e1-a439-00145eb45e9a	2007-12-19	1492
83fdaa14-f762-11e1-a439-00145eb45e9a	2007-12-19	6629
83fef676-f762-11e1-a439-00145eb45e9a	2007-12-19	22499
84003cc0-f762-11e1-a439-00145eb45e9a	2007-12-19	7535
84016b5e-f762-11e1-a439-00145eb45e9a	2007-12-19	58614
84028840-f762-11e1-a439-00145eb45e9a	2007-12-19	72615
8403b56c-f762-11e1-a439-00145eb45e9a	2007-12-19	18636
8404cf24-f762-11e1-a439-00145eb45e9a	2007-12-19	35020
84060894-f762-11e1-a439-00145eb45e9a	2007-12-19	9321
84074c72-f762-11e1-a439-00145eb45e9a	2007-12-19	41548
8408a932-f762-11e1-a439-00145eb45e9a	2007-12-19	49406
8409e32e-f762-11e1-a439-00145eb45e9a	2007-12-19	73821
840b34b8-f762-11e1-a439-00145eb45e9a	2007-12-19	67530
840c7576-f762-11e1-a439-00145eb45e9a	2007-12-19	85439
840da1da-f762-11e1-a439-00145eb45e9a	2007-12-19	71368
840ebec6-f762-11e1-a439-00145eb45e9a	2007-12-19	2584
840fe92c-f762-11e1-a439-00145eb45e9a	2007-12-19	84070
84111c84-f762-11e1-a439-00145eb45e9a	2007-12-19	70704
841246ea-f762-11e1-a439-00145eb45e9a	2007-12-19	93840
84135e18-f762-11e1-a439-00145eb45e9a	2007-12-19	69009
84147f14-f762-11e1-a439-00145eb45e9a	2007-12-19	74164
8415ad6c-f762-11e1-a439-00145eb45e9a	2007-12-19	55256
8416eeac-f762-11e1-a439-00145eb45e9a	2007-12-19	63349
841816d8-f762-11e1-a439-00145eb45e9a	2007-12-19	39784
8419539a-f762-11e1-a439-00145eb45e9a	2007-12-19	35693
841a79e6-f762-11e1-a439-00145eb45e9a	2007-12-19	34978
841bc6e8-f762-11e1-a439-00145eb45e9a	2007-12-19	33467
841ceae6-f762-11e1-a439-00145eb45e9a	2007-12-19	31157
841e179a-f762-11e1-a439-00145eb45e9a	2007-12-19	45841
841f4660-f762-11e1-a439-00145eb45e9a	2007-12-19	39333
84207134-f762-11e1-a439-00145eb45e9a	2007-12-19	40812
842195a0-f762-11e1-a439-00145eb45e9a	2007-12-19	32466
8422beb2-f762-11e1-a439-00145eb45e9a	2007-12-19	77301
84240cc2-f762-11e1-a439-00145eb45e9a	2007-12-19	61234
84254574-f762-11e1-a439-00145eb45e9a	2007-12-19	81105
84268ca4-f762-11e1-a439-00145eb45e9a	2007-12-19	69959
8427b732-f762-11e1-a439-00145eb45e9a	2007-12-19	81490
8428fc96-f762-11e1-a439-00145eb45e9a	2007-12-19	68081
842a2b0c-f762-11e1-a439-00145eb45e9a	2007-12-19	80742
